Time (matlabs datenum format),Cloud base height (decameters)
730508.3333,491
730508.375,411
730508.4167,241
730508.4583,51
730508.5,321
730508.5417,311
730508.5833,171
730508.625,461
730508.6667,471
730508.7083,121
730508.75,421
730508.7917,201
730508.8333,471
730508.875,61
730508.9167,281
730508.9583,461
730509,431
730509.0417,61
730509.0833,421
730509.125,221
730509.1667,301
730509.2083,301
730509.25,401
730509.2917,321
730509.3333,261
730509.375,361
730509.4167,471
730509.4583,231
730509.5,151
730509.5417,71
730509.5833,241
730509.625,261
730509.6667,181
730509.7083,291
730509.75,111
730509.7917,411
730509.8333,451
730509.875,461
730509.9167,31
730509.9583,21
730510,501
730510.0417,131
730510.0833,111
730510.125,41
730510.1667,131
730510.2083,421
730510.25,231
730510.2917,151
730510.3333,11
730510.375,211
730510.4167,81
730510.4583,101
730510.5,191
730510.5417,91
730510.5833,381
730510.625,51
730510.6667,121
730510.7083,401
730510.75,31
730510.7917,271
730510.8333,251
730510.875,231
730510.9167,31
730510.9583,281
730511,251
730511.0417,471
730511.0833,371
730511.125,81
730511.1667,171
730511.2083,241
730511.25,21
730511.2917,421
730511.3333,231
730511.375,451
730511.4167,451
730511.4583,501
730511.5,151
730511.5417,401
730511.5833,101
730511.625,351
730511.6667,151
730511.7083,341
730511.75,421
730511.7917,281
730511.8333,31
730511.875,151
730511.9167,271
730511.9583,491
730512,361
730512.0417,71
730512.0833,471
730512.125,421
730512.1667,191
730512.2083,331
730512.25,371
730512.2917,11
730512.3333,61
730512.375,421
730512.4167,421
730512.4583,161
730512.5,331
730512.5417,131
730512.5833,471
730512.625,251
730512.6667,21
730512.7083,471
730512.75,221
730512.7917,161
730512.8333,21
730512.875,381
730512.9167,71
730512.9583,381
730513,441
730513.0417,171
730513.0833,431
730513.125,121
730513.1667,391
730513.2083,201
730513.25,301
730513.2917,251
730513.3333,371
730513.375,201
730513.4167,331
730513.4583,51
730513.5,61
730513.5417,71
730513.5833,241
730513.625,311
730513.6667,201
730513.7083,221
730513.75,421
730513.7917,91
730513.8333,351
730513.875,481
730513.9167,191
730513.9583,441
730514,301
730514.0417,251
730514.0833,311
730514.125,311
730514.1667,211
730514.2083,91
730514.25,421
730514.2917,101
730514.3333,481
730514.375,191
730514.4167,351
730514.4583,271
730514.5,1
730514.5417,281
730514.5833,281
730514.625,241
730514.6667,501
730514.7083,441
730514.75,31
730514.7917,141
730514.8333,481
730514.875,311
730514.9167,121
730514.9583,241
730515,41
730515.0417,471
730515.0833,291
730515.125,401
730515.1667,31
730515.2083,351
730515.25,301
730515.2917,61
730515.3333,221
730515.375,61
730515.4167,51
730515.4583,461
730515.5,21
730515.5417,131
730515.5833,311
730515.625,181
730515.6667,361
730515.7083,251
730515.75,11
730515.7917,471
730515.8333,231
730515.875,121
730515.9167,111
730515.9583,441
730516,371
730516.0417,141
730516.0833,361
730516.125,41
730516.1667,61
730516.2083,451
730516.25,321
730516.2917,221
730516.3333,211
730516.375,201
730516.4167,351
730516.4583,331
730516.5,311
730516.5417,461
730516.5833,161
730516.625,181
730516.6667,71
730516.7083,481
730516.75,301
730516.7917,271
730516.8333,131
730516.875,251
730516.9167,31
730516.9583,201
730517,111
730517.0417,341
730517.0833,141
730517.125,311
730517.1667,491
730517.2083,431
730517.25,311
730517.2917,341
730517.3333,291
730517.375,271
730517.4167,261
730517.4583,481
730517.5,491
730517.5417,351
730517.5833,461
730517.625,181
730517.6667,411
730517.7083,111
730517.75,191
730517.7917,461
730517.8333,1
730517.875,491
730517.9167,51
730517.9583,481
730518,171
730518.0417,321
730518.0833,371
730518.125,331
730518.1667,51
730518.2083,341
730518.25,61
730518.2917,301
730518.3333,431
730518.375,61
730518.4167,211
730518.4583,281
730518.5,131
730518.5417,71
730518.5833,481
730518.625,171
730518.6667,71
730518.7083,361
730518.75,451
730518.7917,381
730518.8333,341
730518.875,191
730518.9167,181
730518.9583,351
730519,141
730519.0417,121
730519.0833,91
730519.125,31
730519.1667,221
730519.2083,221
730519.25,321
730519.2917,41
730519.3333,231
730519.375,391
730519.4167,401
730519.4583,231
730519.5,81
730519.5417,451
730519.5833,481
730519.625,381
730519.6667,221
730519.7083,201
730519.75,241
730519.7917,451
730519.8333,71
730519.875,331
730519.9167,441
730519.9583,91
730520,291
730520.0417,451
730520.0833,321
730520.125,81
730520.1667,221
730520.2083,31
730520.25,301
730520.2917,321
730520.3333,491
730520.375,151
730520.4167,41
730520.4583,461
730520.5,371
730520.5417,41
730520.5833,91
730520.625,291
730520.6667,441
730520.7083,31
730520.75,71
730520.7917,401
730520.8333,371
730520.875,311
730520.9167,161
730520.9583,131
730521,261
730521.0417,291
730521.0833,221
730521.125,271
730521.1667,481
730521.2083,231
730521.25,481
730521.2917,191
730521.3333,181
730521.375,361
730521.4167,121
730521.4583,371
730521.5,121
730521.5417,391
730521.5833,111
730521.625,301
730521.6667,81
730521.7083,321
730521.75,411
730521.7917,121
730521.8333,151
730521.875,151
730521.9167,491
730521.9583,461
730522,211
730522.0417,461
730522.0833,181
730522.125,51
730522.1667,171
730522.2083,201
730522.25,121
730522.2917,21
730522.3333,261
730522.375,171
730522.4167,151
730522.4583,371
730522.5,121
730522.5417,231
730522.5833,191
730522.625,241
730522.6667,291
730522.7083,431
730522.75,301
730522.7917,191
730522.8333,241
730522.875,81
730522.9167,261
730522.9583,111
730523,211
730523.0417,171
730523.0833,101
730523.125,81
730523.1667,181
730523.2083,201
730523.25,371
730523.2917,481
730523.3333,181
730523.375,441
730523.4167,491
730523.4583,181
730523.5,201
730523.5417,231
730523.5833,111
730523.625,91
730523.6667,111
730523.7083,391
730523.75,91
730523.7917,81
730523.8333,431
730523.875,41
730523.9167,291
730523.9583,321
730524,311
730524.0417,111
730524.0833,321
730524.125,411
730524.1667,71
730524.2083,361
730524.25,421
730524.2917,471
730524.3333,401
730524.375,231
730524.4167,461
730524.4583,271
730524.5,341
730524.5417,51
730524.5833,51
730524.625,471
730524.6667,441
730524.7083,371
730524.75,351
730524.7917,491
730524.8333,221
730524.875,51
730524.9167,411
730524.9583,291
730525,461
730525.0417,451
730525.0833,461
730525.125,441
730525.1667,131
730525.2083,391
730525.25,271
730525.2917,201
730525.3333,11
730525.375,81
730525.4167,301
730525.4583,321
730525.5,321
730525.5417,461
730525.5833,241
730525.625,161
730525.6667,331
730525.7083,141
730525.75,111
730525.7917,21
730525.8333,11
730525.875,241
730525.9167,271
730525.9583,451
730526,441
730526.0417,181
730526.0833,131
730526.125,461
730526.1667,491
730526.2083,221
730526.25,241
730526.2917,271
730526.3333,311
730526.375,91
730526.4167,201
730526.4583,261
730526.5,141
730526.5417,191
730526.5833,41
730526.625,211
730526.6667,251
730526.7083,401
730526.75,261
730526.7917,301
730526.8333,401
730526.875,41
730526.9167,81
730526.9583,101
730527,101
730527.0417,211
730527.0833,341
730527.125,171
730527.1667,261
730527.2083,371
730527.25,461
730527.2917,91
730527.3333,441
730527.375,141
730527.4167,411
730527.4583,171
730527.5,341
730527.5417,251
730527.5833,431
730527.625,381
730527.6667,51
730527.7083,221
730527.75,201
730527.7917,461
730527.8333,61
730527.875,81
730527.9167,191
730527.9583,211
730528,481
730528.0417,321
730528.0833,171
730528.125,421
730528.1667,431
730528.2083,221
730528.25,321
730528.2917,201
730528.3333,431
730528.375,221
730528.4167,231
730528.4583,301
730528.5,301
730528.5417,51
730528.5833,51
730528.625,181
730528.6667,271
730528.7083,271
730528.75,161
730528.7917,231
730528.8333,131
730528.875,311
730528.9167,391
730528.9583,211
730529,411
730529.0417,261
730529.0833,481
730529.125,161
730529.1667,131
730529.2083,371
730529.25,21
730529.2917,491
730529.3333,141
730529.375,11
730529.4167,81
730529.4583,211
730529.5,11
730529.5417,381
730529.5833,371
730529.625,141
730529.6667,501
730529.7083,271
730529.75,231
730529.7917,111
730529.8333,331
730529.875,351
730529.9167,31
730529.9583,351
730530,11
730530.0417,241
730530.0833,291
730530.125,371
730530.1667,381
730530.2083,431
730530.25,461
730530.2917,151
730530.3333,141
730530.375,391
730530.4167,311
730530.4583,291
730530.5,451
730530.5417,81
730530.5833,451
730530.625,261
730530.6667,351
730530.7083,91
730530.75,411
730530.7917,451
730530.8333,261
730530.875,41
730530.9167,241
730530.9583,421
730531,361
730531.0417,161
730531.0833,471
730531.125,151
730531.1667,111
730531.2083,381
730531.25,51
730531.2917,251
730531.3333,301
730531.375,171
730531.4167,161
730531.4583,101
730531.5,41
730531.5417,421
730531.5833,381
730531.625,191
730531.6667,171
730531.7083,351
730531.75,251
730531.7917,41
730531.8333,401
730531.875,441
730531.9167,261
730531.9583,101
730532,231
730532.0417,441
730532.0833,321
730532.125,401
730532.1667,81
730532.2083,41
730532.25,201
730532.2917,271
730532.3333,201
730532.375,391
730532.4167,1
730532.4583,481
730532.5,221
730532.5417,191
730532.5833,201
730532.625,161
730532.6667,161
730532.7083,141
730532.75,451
730532.7917,301
730532.8333,481
730532.875,191
730532.9167,371
730532.9583,451
730533,91
730533.0417,251
730533.0833,261
730533.125,291
730533.1667,171
730533.2083,171
730533.25,81
730533.2917,251
730533.3333,51
730533.375,341
730533.4167,281
730533.4583,441
730533.5,241
730533.5417,81
730533.5833,321
730533.625,361
730533.6667,151
730533.7083,51
730533.75,161
730533.7917,131
730533.8333,391
730533.875,171
730533.9167,471
730533.9583,91
730534,191
730534.0417,321
730534.0833,141
730534.125,341
730534.1667,91
730534.2083,171
730534.25,21
730534.2917,261
730534.3333,481
730534.375,31
730534.4167,111
730534.4583,151
730534.5,31
730534.5417,111
730534.5833,311
730534.625,281
730534.6667,221
730534.7083,421
730534.75,181
730534.7917,411
730534.8333,111
730534.875,221
730534.9167,381
730534.9583,351
730535,301
730535.0417,311
730535.0833,201
730535.125,241
730535.1667,291
730535.2083,191
730535.25,1
730535.2917,21
730535.3333,261
730535.375,321
730535.4167,471
730535.4583,291
730535.5,261
730535.5417,451
730535.5833,321
730535.625,71
730535.6667,101
730535.7083,181
730535.75,51
730535.7917,341
730535.8333,461
730535.875,21
730535.9167,171
730535.9583,111
730536,91
730536.0417,161
730536.0833,91
730536.125,461
730536.1667,141
730536.2083,501
730536.25,151
730536.2917,281
730536.3333,271
730536.375,341
730536.4167,31
730536.4583,71
730536.5,411
730536.5417,161
730536.5833,311
730536.625,131
730536.6667,291
730536.7083,461
730536.75,501
730536.7917,421
730536.8333,461
730536.875,281
730536.9167,1
730536.9583,441
730537,431
730537.0417,101
730537.0833,331
730537.125,31
730537.1667,61
730537.2083,381
730537.25,351
730537.2917,151
730537.3333,421
730537.375,431
730537.4167,281
730537.4583,71
730537.5,211
730537.5417,361
730537.5833,261
730537.625,81
730537.6667,161
730537.7083,491
730537.75,221
730537.7917,111
730537.8333,51
730537.875,121
730537.9167,101
730537.9583,421
730538,251
730538.0417,51
730538.0833,471
730538.125,291
730538.1667,111
730538.2083,141
730538.25,471
730538.2917,341
730538.3333,1
730538.375,481
730538.4167,481
730538.4583,341
730538.5,471
730538.5417,21
730538.5833,411
730538.625,121
730538.6667,261
730538.7083,381
730538.75,311
730538.7917,371
730538.8333,441
730538.875,21
730538.9167,151
730538.9583,341
730539,61
730539.0417,271
730539.0833,211
730539.125,211
730539.1667,441
730539.2083,421
730539.25,341
730539.2917,161
730539.3333,491
730539.375,251
730539.4167,421
730539.4583,91
730539.5,1
730539.5417,321
730539.5833,91
730539.625,281
730539.6667,491
730539.7083,311
730539.75,81
730539.7917,311
730539.8333,301
730539.875,451
730539.9167,201
730539.9583,361
730540,461
730540.0417,91
730540.0833,451
730540.125,291
730540.1667,361
730540.2083,41
730540.25,141
730540.2917,21
730540.3333,361
730540.375,331
730540.4167,371
730540.4583,361
730540.5,471
730540.5417,81
730540.5833,461
730540.625,221
730540.6667,41
730540.7083,71
730540.75,431
730540.7917,321
730540.8333,51
730540.875,151
730540.9167,431
730540.9583,141
730541,181
730541.0417,151
730541.0833,461
730541.125,351
730541.1667,211
730541.2083,351
730541.25,471
730541.2917,361
730541.3333,221
730541.375,341
730541.4167,381
730541.4583,411
730541.5,461
730541.5417,421
730541.5833,51
730541.625,231
730541.6667,271
730541.7083,251
730541.75,271
730541.7917,21
730541.8333,141
730541.875,381
730541.9167,481
730541.9583,251
730542,111
730542.0417,181
730542.0833,411
730542.125,11
730542.1667,331
730542.2083,141
730542.25,151
730542.2917,341
730542.3333,131
730542.375,351
730542.4167,61
730542.4583,381
730542.5,241
730542.5417,41
730542.5833,211
730542.625,451
730542.6667,271
730542.7083,181
730542.75,131
730542.7917,101
730542.8333,51
730542.875,201
730542.9167,281
730542.9583,361
730543,201
730543.0417,491
730543.0833,121
730543.125,231
730543.1667,391
730543.2083,21
730543.25,131
730543.2917,341
730543.3333,101
730543.375,431
730543.4167,341
730543.4583,351
730543.5,301
730543.5417,61
730543.5833,111
730543.625,291
730543.6667,21
730543.7083,161
730543.75,441
730543.7917,191
730543.8333,401
730543.875,191
730543.9167,411
730543.9583,351
730544,221
730544.0417,341
730544.0833,501
730544.125,91
730544.1667,11
730544.2083,401
730544.25,201
730544.2917,191
730544.3333,41
730544.375,421
730544.4167,361
730544.4583,291
730544.5,491
730544.5417,291
730544.5833,41
730544.625,361
730544.6667,91
730544.7083,181
730544.75,231
730544.7917,221
730544.8333,371
730544.875,361
730544.9167,191
730544.9583,331
730545,471
730545.0417,81
730545.0833,491
730545.125,381
730545.1667,111
730545.2083,101
730545.25,361
730545.2917,461
730545.3333,41
730545.375,221
730545.4167,191
730545.4583,231
730545.5,341
730545.5417,211
730545.5833,131
730545.625,81
730545.6667,441
730545.7083,331
730545.75,271
730545.7917,461
730545.8333,381
730545.875,311
730545.9167,381
730545.9583,481
730546,311
730546.0417,421
730546.0833,231
730546.125,371
730546.1667,271
730546.2083,431
730546.25,281
730546.2917,51
730546.3333,71
730546.375,111
730546.4167,361
730546.4583,11
730546.5,241
730546.5417,431
730546.5833,421
730546.625,311
730546.6667,261
730546.7083,41
730546.75,481
730546.7917,191
730546.8333,401
730546.875,491
730546.9167,361
730546.9583,351
730547,301
730547.0417,111
730547.0833,321
730547.125,501
730547.1667,411
730547.2083,101
730547.25,411
730547.2917,161
730547.3333,91
730547.375,181
730547.4167,441
730547.4583,61
730547.5,271
730547.5417,301
730547.5833,81
730547.625,11
730547.6667,241
730547.7083,321
730547.75,371
730547.7917,171
730547.8333,151
730547.875,221
730547.9167,281
730547.9583,441
730548,501
730548.0417,441
730548.0833,471
730548.125,201
730548.1667,471
730548.2083,321
730548.25,121
730548.2917,421
730548.3333,461
730548.375,181
730548.4167,81
730548.4583,451
730548.5,221
730548.5417,421
730548.5833,381
730548.625,191
730548.6667,161
730548.7083,21
730548.75,451
730548.7917,341
730548.8333,351
730548.875,271
730548.9167,271
730548.9583,251
730549,421
730549.0417,271
730549.0833,91
730549.125,371
730549.1667,441
730549.2083,171
730549.25,501
730549.2917,61
730549.3333,471
730549.375,441
730549.4167,431
730549.4583,201
730549.5,51
730549.5417,431
730549.5833,41
730549.625,431
730549.6667,431
730549.7083,391
730549.75,251
730549.7917,131
730549.8333,251
730549.875,461
730549.9167,331
730549.9583,371
730550,241
730550.0417,121
730550.0833,161
730550.125,341
730550.1667,31
730550.2083,101
730550.25,481
730550.2917,141
730550.3333,121
730550.375,21
730550.4167,311
730550.4583,231
730550.5,311
730550.5417,441
730550.5833,171
730550.625,61
730550.6667,1
730550.7083,161
730550.75,21
730550.7917,361
730550.8333,171
730550.875,351
730550.9167,111
730550.9583,81
730551,91
730551.0417,161
730551.0833,131
730551.125,41
730551.1667,271
730551.2083,251
730551.25,151
730551.2917,291
730551.3333,221
730551.375,201
730551.4167,471
730551.4583,181
730551.5,71
730551.5417,211
730551.5833,191
730551.625,271
730551.6667,341
730551.7083,181
730551.75,291
730551.7917,211
730551.8333,341
730551.875,241
730551.9167,211
730551.9583,101
730552,131
730552.0417,271
730552.0833,251
730552.125,1
730552.1667,81
730552.2083,251
730552.25,361
730552.2917,431
730552.3333,171
730552.375,251
730552.4167,351
730552.4583,121
730552.5,51
730552.5417,31
730552.5833,81
730552.625,51
730552.6667,451
730552.7083,141
730552.75,421
730552.7917,371
730552.8333,371
730552.875,301
730552.9167,321
730552.9583,391
730553,171
730553.0417,401
730553.0833,181
730553.125,451
730553.1667,311
730553.2083,351
730553.25,91
730553.2917,91
730553.3333,281
730553.375,141
730553.4167,151
730553.4583,91
730553.5,131
730553.5417,211
730553.5833,11
730553.625,81
730553.6667,341
730553.7083,351
730553.75,41
730553.7917,61
730553.8333,421
730553.875,361
730553.9167,81
730553.9583,181
730554,311
730554.0417,41
730554.0833,51
730554.125,31
730554.1667,291
730554.2083,11
730554.25,451
730554.2917,31
730554.3333,41
730554.375,201
730554.4167,441
730554.4583,471
730554.5,201
730554.5417,451
730554.5833,381
730554.625,411
730554.6667,381
730554.7083,161
730554.75,201
730554.7917,371
730554.8333,231
730554.875,371
730554.9167,61
730554.9583,421
730555,461
730555.0417,81
730555.0833,101
730555.125,221
730555.1667,81
730555.2083,311
730555.25,321
730555.2917,181
730555.3333,391
730555.375,371
730555.4167,291
730555.4583,1
730555.5,431
730555.5417,121
730555.5833,171
730555.625,131
730555.6667,281
730555.7083,231
730555.75,431
730555.7917,331
730555.8333,481
730555.875,231
730555.9167,201
730555.9583,211
730556,291
730556.0417,251
730556.0833,191
730556.125,191
730556.1667,271
730556.2083,71
730556.25,201
730556.2917,111
730556.3333,231
730556.375,71
730556.4167,71
730556.4583,401
730556.5,201
730556.5417,231
730556.5833,291
730556.625,81
730556.6667,341
730556.7083,371
730556.75,21
730556.7917,251
730556.8333,91
730556.875,71
730556.9167,271
730556.9583,481
730557,111
730557.0417,321
730557.0833,71
730557.125,401
730557.1667,441
730557.2083,341
730557.25,71
730557.2917,431
730557.3333,261
730557.375,481
730557.4167,121
730557.4583,281
730557.5,181
730557.5417,361
730557.5833,311
730557.625,241
730557.6667,421
730557.7083,471
730557.75,231
730557.7917,441
730557.8333,141
730557.875,321
730557.9167,131
730557.9583,61
730558,421
730558.0417,111
730558.0833,371
730558.125,151
730558.1667,191
730558.2083,311
730558.25,451
730558.2917,241
730558.3333,441
730558.375,321
730558.4167,51
730558.4583,301
730558.5,371
730558.5417,41
730558.5833,11
730558.625,421
730558.6667,181
730558.7083,151
730558.75,501
730558.7917,301
730558.8333,461
730558.875,471
730558.9167,171
730558.9583,291
730559,171
730559.0417,211
730559.0833,351
730559.125,271
730559.1667,241
730559.2083,441
730559.25,411
730559.2917,151
730559.3333,141
730559.375,451
730559.4167,301
730559.4583,71
730559.5,101
730559.5417,461
730559.5833,91
730559.625,471
730559.6667,151
730559.7083,61
730559.75,241
730559.7917,381
730559.8333,31
730559.875,331
730559.9167,121
730559.9583,111
730560,191
730560.0417,271
730560.0833,461
730560.125,491
730560.1667,171
730560.2083,221
730560.25,391
730560.2917,421
730560.3333,441
730560.375,491
730560.4167,471
730560.4583,341
730560.5,321
730560.5417,361
730560.5833,121
730560.625,1
730560.6667,261
730560.7083,71
730560.75,161
730560.7917,481
730560.8333,481
730560.875,311
730560.9167,481
730560.9583,291
730561,91
730561.0417,21
730561.0833,341
730561.125,191
730561.1667,271
730561.2083,281
730561.25,111
730561.2917,121
730561.3333,161
730561.375,321
730561.4167,421
730561.4583,461
730561.5,321
730561.5417,361
730561.5833,191
730561.625,201
730561.6667,491
730561.7083,1
730561.75,261
730561.7917,301
730561.8333,311
730561.875,81
730561.9167,191
730561.9583,401
730562,1
730562.0417,141
730562.0833,221
730562.125,331
730562.1667,451
730562.2083,171
730562.25,471
730562.2917,341
730562.3333,411
730562.375,91
730562.4167,461
730562.4583,191
730562.5,51
730562.5417,501
730562.5833,51
730562.625,81
