Time (matlab datenum format),Wind speed 10m (m/s)
730506.5417,4
730506.5833,8
730506.625,1
730506.6667,4
730506.7083,4
730506.75,9
730506.7917,7
730506.8333,10
730506.875,12
730506.9167,10
730506.9583,3
730507,7
730507.0417,9
730507.0833,6
730507.125,12
730507.1667,10
730507.2083,1
730507.25,7
730507.2917,3
730507.3333,7
730507.375,25
730507.4167,5
730507.4583,5
730507.5,14
730507.5417,10
730507.5833,3
730507.625,4
730507.6667,3
730507.7083,2
730507.75,4
730507.7917,9
730507.8333,5
730507.875,8
730507.9167,1
730507.9583,2
730508,3
730508.0417,7
730508.0833,7
730508.125,3
730508.1667,6
730508.2083,6
730508.25,5
730508.2917,1
730508.3333,3
730508.375,4
730508.4167,3
730508.4583,7
730508.5,4
730508.5417,3
730508.5833,3
730508.625,14
730508.6667,5
730508.7083,2
730508.75,6
730508.7917,3
730508.8333,2
730508.875,3
730508.9167,6
730508.9583,3
730509,1
730509.0417,4
730509.0833,7
730509.125,14
730509.1667,6
730509.2083,11
730509.25,1
730509.2917,11
730509.3333,4
730509.375,8
730509.4167,7
730509.4583,1
730509.5,6
730509.5417,8
730509.5833,2
730509.625,9
730509.6667,7
730509.7083,4
730509.75,1
730509.7917,6
730509.8333,9
730509.875,8
730509.9167,7
730509.9583,7
730510,10
730510.0417,1
730510.0833,4
730510.125,5
730510.1667,4
730510.2083,7
730510.25,2
730510.2917,2
730510.3333,9
730510.375,11
730510.4167,6
730510.4583,10
730510.5,3
730510.5417,6
730510.5833,13
730510.625,3
730510.6667,5
730510.7083,4
730510.75,9
730510.7917,2
730510.8333,7
730510.875,5
730510.9167,5
730510.9583,6
730511,3
730511.0417,4
730511.0833,8
730511.125,1
730511.1667,5
730511.2083,4
730511.25,5
730511.2917,10
730511.3333,3
730511.375,6
730511.4167,0
730511.4583,1
730511.5,7
730511.5417,2
730511.5833,3
730511.625,4
730511.6667,4
730511.7083,9
730511.75,11
730511.7917,3
730511.8333,11
730511.875,3
730511.9167,8
730511.9583,2
730512,10
730512.0417,5
730512.0833,4
730512.125,4
730512.1667,10
730512.2083,4
730512.25,4
730512.2917,2
730512.3333,3
730512.375,5
730512.4167,2
730512.4583,7
730512.5,15
730512.5417,6
730512.5833,3
730512.625,7
730512.6667,3
730512.7083,7
730512.75,9
730512.7917,9
730512.8333,9
730512.875,8
730512.9167,7
730512.9583,7
730513,12
730513.0417,6
730513.0833,5
730513.125,11
730513.1667,8
730513.2083,4
730513.25,3
730513.2917,6
730513.3333,3
730513.375,5
730513.4167,7
730513.4583,6
730513.5,5
730513.5417,5
730513.5833,4
730513.625,4
730513.6667,8
730513.7083,4
730513.75,4
730513.7917,4
730513.8333,6
730513.875,5
730513.9167,3
730513.9583,10
730514,3
730514.0417,2
730514.0833,7
730514.125,13
730514.1667,7
730514.2083,2
730514.25,4
730514.2917,3
730514.3333,3
730514.375,0
730514.4167,5
730514.4583,3
730514.5,5
730514.5417,3
730514.5833,5
730514.625,11
730514.6667,3
730514.7083,8
730514.75,18
730514.7917,7
730514.8333,4
730514.875,3
730514.9167,5
730514.9583,4
730515,5
730515.0417,2
730515.0833,4
730515.125,10
730515.1667,5
730515.2083,17
730515.25,6
730515.2917,10
730515.3333,6
730515.375,8
730515.4167,6
730515.4583,16
730515.5,2
730515.5417,6
730515.5833,6
730515.625,5
730515.6667,12
730515.7083,13
730515.75,11
730515.7917,6
730515.8333,4
730515.875,2
730515.9167,4
730515.9583,4
730516,6
730516.0417,8
730516.0833,14
730516.125,7
730516.1667,8
730516.2083,8
730516.25,6
730516.2917,7
730516.3333,5
730516.375,7
730516.4167,12
730516.4583,10
730516.5,1
730516.5417,4
730516.5833,7
730516.625,3
730516.6667,8
730516.7083,9
730516.75,4
730516.7917,2
730516.8333,3
730516.875,1
730516.9167,2
730516.9583,9
730517,3
730517.0417,4
730517.0833,9
730517.125,5
730517.1667,13
730517.2083,5
730517.25,7
730517.2917,5
730517.3333,5
730517.375,12
730517.4167,3
730517.4583,3
730517.5,4
730517.5417,4
730517.5833,6
730517.625,5
730517.6667,10
730517.7083,3
730517.75,4
730517.7917,8
730517.8333,11
730517.875,8
730517.9167,4
730517.9583,4
730518,9
730518.0417,5
730518.0833,12
730518.125,3
730518.1667,3
730518.2083,7
730518.25,2
730518.2917,5
730518.3333,6
730518.375,4
730518.4167,4
730518.4583,7
730518.5,10
730518.5417,2
730518.5833,6
730518.625,3
730518.6667,2
730518.7083,7
730518.75,8
730518.7917,4
730518.8333,6
730518.875,4
730518.9167,7
730518.9583,10
730519,4
730519.0417,2
730519.0833,9
730519.125,7
730519.1667,5
730519.2083,2
730519.25,3
730519.2917,4
730519.3333,10
730519.375,9
730519.4167,5
730519.4583,4
730519.5,9
730519.5417,7
730519.5833,13
730519.625,5
730519.6667,3
730519.7083,8
730519.75,3
730519.7917,3
730519.8333,13
730519.875,17
730519.9167,3
730519.9583,11
730520,4
730520.0417,4
730520.0833,2
730520.125,5
730520.1667,9
730520.2083,6
730520.25,7
730520.2917,2
730520.3333,3
730520.375,5
730520.4167,3
730520.4583,5
730520.5,7
730520.5417,4
730520.5833,6
730520.625,2
730520.6667,8
730520.7083,1
730520.75,3
730520.7917,15
730520.8333,12
730520.875,4
730520.9167,10
730520.9583,3
730521,2
730521.0417,10
730521.0833,2
730521.125,9
730521.1667,4
730521.2083,12
730521.25,5
730521.2917,3
730521.3333,3
730521.375,3
730521.4167,8
730521.4583,4
730521.5,1
730521.5417,2
730521.5833,7
730521.625,4
730521.6667,8
730521.7083,3
730521.75,5
730521.7917,11
730521.8333,10
730521.875,7
730521.9167,7
730521.9583,10
730522,7
730522.0417,5
730522.0833,2
730522.125,4
730522.1667,11
730522.2083,5
730522.25,3
730522.2917,8
730522.3333,4
730522.375,1
730522.4167,8
730522.4583,5
730522.5,16
730522.5417,4
730522.5833,4
730522.625,1
730522.6667,8
730522.7083,6
730522.75,5
730522.7917,8
730522.8333,4
730522.875,6
730522.9167,2
730522.9583,5
730523,5
730523.0417,5
730523.0833,2
730523.125,9
730523.1667,14
730523.2083,5
730523.25,6
730523.2917,1
730523.3333,4
730523.375,5
730523.4167,3
730523.4583,3
730523.5,8
730523.5417,4
730523.5833,23
730523.625,7
730523.6667,5
730523.7083,1
730523.75,8
730523.7917,2
730523.8333,0
730523.875,2
730523.9167,2
730523.9583,4
730524,6
730524.0417,2
730524.0833,8
730524.125,10
730524.1667,3
730524.2083,4
730524.25,8
730524.2917,7
730524.3333,12
730524.375,3
730524.4167,3
730524.4583,5
730524.5,7
730524.5417,2
730524.5833,7
730524.625,3
730524.6667,5
730524.7083,1
730524.75,12
730524.7917,5
730524.8333,9
730524.875,1
730524.9167,8
730524.9583,1
730525,9
730525.0417,10
730525.0833,9
730525.125,7
730525.1667,4
730525.2083,14
730525.25,12
730525.2917,7
730525.3333,5
730525.375,11
730525.4167,1
730525.4583,12
730525.5,5
730525.5417,4
730525.5833,5
730525.625,4
730525.6667,7
730525.7083,13
730525.75,11
730525.7917,4
730525.8333,2
730525.875,8
730525.9167,7
730525.9583,9
730526,2
730526.0417,5
730526.0833,5
730526.125,4
730526.1667,5
730526.2083,5
730526.25,4
730526.2917,4
730526.3333,6
730526.375,5
730526.4167,16
730526.4583,10
730526.5,6
730526.5417,9
730526.5833,8
730526.625,7
730526.6667,5
730526.7083,8
730526.75,6
730526.7917,0
730526.8333,6
730526.875,8
730526.9167,2
730526.9583,3
730527,2
730527.0417,1
730527.0833,5
730527.125,7
730527.1667,2
730527.2083,3
730527.25,6
730527.2917,4
730527.3333,6
730527.375,2
730527.4167,1
730527.4583,2
730527.5,4
730527.5417,7
730527.5833,1
730527.625,6
730527.6667,4
730527.7083,11
730527.75,5
730527.7917,10
730527.8333,5
730527.875,7
730527.9167,1
730527.9583,4
730528,7
730528.0417,13
730528.0833,10
730528.125,7
730528.1667,3
730528.2083,11
730528.25,3
730528.2917,5
730528.3333,14
730528.375,5
730528.4167,3
730528.4583,4
730528.5,8
730528.5417,4
730528.5833,11
730528.625,7
730528.6667,5
730528.7083,6
730528.75,9
730528.7917,1
730528.8333,2
730528.875,9
730528.9167,3
730528.9583,4
730529,2
730529.0417,4
730529.0833,3
730529.125,5
730529.1667,3
730529.2083,3
730529.25,8
730529.2917,21
730529.3333,8
730529.375,3
730529.4167,5
730529.4583,7
730529.5,3
730529.5417,3
730529.5833,13
730529.625,1
730529.6667,10
730529.7083,3
730529.75,9
730529.7917,2
730529.8333,9
730529.875,1
730529.9167,3
730529.9583,7
730530,2
730530.0417,2
730530.0833,2
730530.125,5
730530.1667,6
730530.2083,7
730530.25,4
730530.2917,3
730530.3333,3
730530.375,14
730530.4167,5
730530.4583,9
730530.5,3
730530.5417,13
730530.5833,7
730530.625,5
730530.6667,16
730530.7083,7
730530.75,1
730530.7917,10
730530.8333,2
730530.875,4
730530.9167,11
730530.9583,5
730531,5
730531.0417,3
730531.0833,3
730531.125,1
730531.1667,10
730531.2083,3
730531.25,7
730531.2917,9
730531.3333,11
730531.375,3
730531.4167,7
730531.4583,6
730531.5,1
730531.5417,9
730531.5833,2
730531.625,3
730531.6667,3
730531.7083,5
730531.75,2
730531.7917,11
730531.8333,4
730531.875,14
730531.9167,8
730531.9583,15
730532,5
730532.0417,0
730532.0833,7
730532.125,3
730532.1667,3
730532.2083,6
730532.25,7
730532.2917,11
730532.3333,3
730532.375,7
730532.4167,7
730532.4583,1
730532.5,7
730532.5417,19
730532.5833,4
730532.625,3
730532.6667,8
730532.7083,10
730532.75,5
730532.7917,4
730532.8333,5
730532.875,9
730532.9167,3
730532.9583,5
730533,9
730533.0417,6
730533.0833,8
730533.125,3
730533.1667,6
730533.2083,3
730533.25,8
730533.2917,8
730533.3333,8
730533.375,4
730533.4167,5
730533.4583,10
730533.5,9
730533.5417,4
730533.5833,4
730533.625,13
730533.6667,10
730533.7083,4
730533.75,6
730533.7917,3
730533.8333,2
730533.875,4
730533.9167,6
730533.9583,11
730534,4
730534.0417,7
730534.0833,2
730534.125,7
730534.1667,2
730534.2083,3
730534.25,3
730534.2917,2
730534.3333,5
730534.375,1
730534.4167,9
730534.4583,2
730534.5,3
730534.5417,7
730534.5833,8
730534.625,14
730534.6667,4
730534.7083,5
730534.75,2
730534.7917,8
730534.8333,1
730534.875,5
730534.9167,9
730534.9583,3
730535,2
730535.0417,7
730535.0833,9
730535.125,4
730535.1667,9
730535.2083,7
730535.25,2
730535.2917,2
730535.3333,6
730535.375,5
730535.4167,2
730535.4583,5
730535.5,2
730535.5417,2
730535.5833,6
730535.625,3
730535.6667,4
730535.7083,11
730535.75,1
730535.7917,10
730535.8333,3
730535.875,5
730535.9167,2
730535.9583,3
730536,6
730536.0417,2
730536.0833,4
730536.125,12
730536.1667,1
730536.2083,6
730536.25,6
730536.2917,2
730536.3333,12
730536.375,3
730536.4167,12
730536.4583,2
730536.5,5
730536.5417,2
730536.5833,5
730536.625,10
730536.6667,6
730536.7083,4
730536.75,5
730536.7917,12
730536.8333,4
730536.875,3
730536.9167,3
730536.9583,4
730537,4
730537.0417,9
730537.0833,3
730537.125,3
730537.1667,6
730537.2083,5
730537.25,1
730537.2917,5
730537.3333,4
730537.375,7
730537.4167,3
730537.4583,7
730537.5,4
730537.5417,2
730537.5833,1
730537.625,5
730537.6667,4
730537.7083,8
730537.75,4
730537.7917,8
730537.8333,9
730537.875,4
730537.9167,2
730537.9583,6
730538,2
730538.0417,3
730538.0833,8
730538.125,8
730538.1667,4
730538.2083,1
730538.25,2
730538.2917,17
730538.3333,3
730538.375,6
730538.4167,1
730538.4583,7
730538.5,7
730538.5417,7
730538.5833,3
730538.625,8
730538.6667,5
730538.7083,5
730538.75,14
730538.7917,10
730538.8333,4
730538.875,3
730538.9167,10
730538.9583,1
730539,5
730539.0417,5
730539.0833,3
730539.125,4
730539.1667,4
730539.2083,3
730539.25,12
730539.2917,6
730539.3333,2
730539.375,5
730539.4167,8
730539.4583,1
730539.5,3
730539.5417,4
730539.5833,4
730539.625,7
730539.6667,4
730539.7083,11
730539.75,11
730539.7917,8
730539.8333,2
730539.875,23
730539.9167,2
730539.9583,2
730540,2
730540.0417,3
730540.0833,4
730540.125,5
730540.1667,5
730540.2083,6
730540.25,7
730540.2917,1
730540.3333,7
730540.375,5
730540.4167,3
730540.4583,9
730540.5,6
730540.5417,8
730540.5833,7
730540.625,11
730540.6667,4
730540.7083,13
730540.75,2
730540.7917,6
730540.8333,5
730540.875,9
730540.9167,11
730540.9583,6
730541,9
730541.0417,9
730541.0833,7
730541.125,3
730541.1667,8
730541.2083,8
730541.25,19
730541.2917,2
730541.3333,6
730541.375,5
730541.4167,11
730541.4583,8
730541.5,12
730541.5417,4
730541.5833,5
730541.625,4
730541.6667,5
730541.7083,8
730541.75,4
730541.7917,2
730541.8333,3
730541.875,5
730541.9167,6
730541.9583,4
730542,1
730542.0417,5
730542.0833,4
730542.125,5
730542.1667,10
730542.2083,8
730542.25,4
730542.2917,3
730542.3333,4
730542.375,1
730542.4167,6
730542.4583,4
730542.5,6
730542.5417,2
730542.5833,3
730542.625,3
730542.6667,1
730542.7083,3
730542.75,6
730542.7917,3
730542.8333,11
730542.875,3
730542.9167,4
730542.9583,12
730543,8
730543.0417,1
730543.0833,3
730543.125,2
730543.1667,3
730543.2083,6
730543.25,3
730543.2917,9
730543.3333,2
730543.375,5
730543.4167,4
730543.4583,5
730543.5,6
730543.5417,3
730543.5833,5
730543.625,10
730543.6667,7
730543.7083,6
730543.75,3
730543.7917,6
730543.8333,6
730543.875,13
730543.9167,8
730543.9583,9
730544,3
730544.0417,5
730544.0833,8
730544.125,10
730544.1667,5
730544.2083,5
730544.25,2
730544.2917,8
730544.3333,1
730544.375,8
730544.4167,9
730544.4583,5
730544.5,9
730544.5417,3
730544.5833,3
730544.625,3
730544.6667,16
730544.7083,8
730544.75,2
730544.7917,4
730544.8333,6
730544.875,4
730544.9167,7
730544.9583,5
730545,6
730545.0417,6
730545.0833,4
730545.125,8
730545.1667,8
730545.2083,4
730545.25,1
730545.2917,7
730545.3333,5
730545.375,4
730545.4167,5
730545.4583,8
730545.5,4
730545.5417,10
730545.5833,7
730545.625,3
730545.6667,3
730545.7083,6
730545.75,5
730545.7917,2
730545.8333,4
730545.875,9
730545.9167,5
730545.9583,18
730546,4
730546.0417,10
730546.0833,6
730546.125,20
730546.1667,5
730546.2083,7
730546.25,5
730546.2917,6
730546.3333,6
730546.375,1
730546.4167,3
730546.4583,5
730546.5,3
730546.5417,15
730546.5833,3
730546.625,11
730546.6667,3
730546.7083,4
730546.75,8
730546.7917,6
730546.8333,5
730546.875,5
730546.9167,8
730546.9583,9
730547,9
730547.0417,7
730547.0833,2
730547.125,5
730547.1667,7
730547.2083,7
730547.25,7
730547.2917,2
730547.3333,10
730547.375,4
730547.4167,11
730547.4583,2
730547.5,5
730547.5417,2
730547.5833,3
730547.625,9
730547.6667,5
730547.7083,11
730547.75,10
730547.7917,5
730547.8333,1
730547.875,3
730547.9167,8
730547.9583,6
730548,8
730548.0417,8
730548.0833,14
730548.125,7
730548.1667,2
730548.2083,8
730548.25,8
730548.2917,10
730548.3333,9
730548.375,4
730548.4167,6
730548.4583,4
730548.5,14
730548.5417,7
730548.5833,4
730548.625,12
730548.6667,4
730548.7083,0
730548.75,10
730548.7917,4
730548.8333,9
730548.875,6
730548.9167,3
730548.9583,6
730549,2
730549.0417,5
730549.0833,3
730549.125,1
730549.1667,3
730549.2083,3
730549.25,2
730549.2917,1
730549.3333,2
730549.375,14
730549.4167,11
730549.4583,3
730549.5,3
730549.5417,2
730549.5833,8
730549.625,3
730549.6667,6
730549.7083,3
730549.75,7
730549.7917,1
730549.8333,4
730549.875,8
730549.9167,11
730549.9583,7
730550,2
730550.0417,8
730550.0833,3
730550.125,4
730550.1667,3
730550.2083,12
730550.25,1
730550.2917,3
730550.3333,0
730550.375,10
730550.4167,4
730550.4583,4
730550.5,5
730550.5417,4
730550.5833,5
730550.625,7
730550.6667,4
730550.7083,4
730550.75,3
730550.7917,8
730550.8333,6
730550.875,2
730550.9167,11
730550.9583,7
730551,6
730551.0417,2
730551.0833,3
730551.125,2
730551.1667,2
730551.2083,2
730551.25,2
730551.2917,11
730551.3333,10
730551.375,5
730551.4167,4
730551.4583,1
730551.5,8
730551.5417,2
730551.5833,8
730551.625,17
730551.6667,7
730551.7083,1
730551.75,4
730551.7917,5
730551.8333,1
730551.875,11
730551.9167,3
730551.9583,9
730552,3
730552.0417,11
730552.0833,8
730552.125,2
730552.1667,9
730552.2083,8
730552.25,13
730552.2917,10
730552.3333,6
730552.375,5
730552.4167,9
730552.4583,8
730552.5,3
730552.5417,10
730552.5833,4
730552.625,9
730552.6667,7
730552.7083,6
730552.75,5
730552.7917,7
730552.8333,2
730552.875,1
730552.9167,11
730552.9583,3
730553,6
730553.0417,2
730553.0833,7
730553.125,4
730553.1667,4
730553.2083,11
730553.25,2
730553.2917,1
730553.3333,5
730553.375,6
730553.4167,6
730553.4583,10
730553.5,4
730553.5417,3
730553.5833,9
730553.625,2
730553.6667,5
730553.7083,7
730553.75,3
730553.7917,7
730553.8333,2
730553.875,2
730553.9167,5
730553.9583,4
730554,3
730554.0417,2
730554.0833,13
730554.125,2
730554.1667,6
730554.2083,3
730554.25,16
730554.2917,11
730554.3333,3
730554.375,4
730554.4167,3
730554.4583,4
730554.5,10
730554.5417,6
730554.5833,11
730554.625,3
730554.6667,5
730554.7083,9
730554.75,10
730554.7917,11
730554.8333,6
730554.875,9
730554.9167,2
730554.9583,11
730555,2
730555.0417,8
730555.0833,1
730555.125,12
730555.1667,5
730555.2083,6
730555.25,3
730555.2917,4
730555.3333,2
730555.375,7
730555.4167,7
730555.4583,12
730555.5,3
730555.5417,9
730555.5833,7
730555.625,2
730555.6667,7
730555.7083,5
730555.75,4
730555.7917,2
730555.8333,12
730555.875,3
730555.9167,4
730555.9583,4
730556,6
730556.0417,10
730556.0833,8
730556.125,4
730556.1667,11
730556.2083,12
730556.25,8
730556.2917,5
730556.3333,2
730556.375,7
730556.4167,6
730556.4583,5
730556.5,15
730556.5417,10
730556.5833,12
730556.625,8
730556.6667,4
730556.7083,4
730556.75,1
730556.7917,5
730556.8333,2
730556.875,8
730556.9167,3
730556.9583,6
730557,9
730557.0417,3
730557.0833,7
730557.125,8
730557.1667,15
730557.2083,2
730557.25,5
730557.2917,8
730557.3333,3
730557.375,5
730557.4167,4
730557.4583,7
730557.5,9
730557.5417,2
730557.5833,9
730557.625,8
730557.6667,6
730557.7083,2
730557.75,11
730557.7917,12
730557.8333,11
730557.875,3
730557.9167,4
730557.9583,7
730558,7
730558.0417,12
730558.0833,12
730558.125,4
730558.1667,2
730558.2083,2
730558.25,6
730558.2917,5
730558.3333,8
730558.375,18
730558.4167,2
730558.4583,11
730558.5,8
730558.5417,7
730558.5833,2
730558.625,4
730558.6667,6
730558.7083,3
730558.75,3
730558.7917,6
730558.8333,5
730558.875,3
730558.9167,7
730558.9583,8
730559,9
730559.0417,10
730559.0833,3
730559.125,3
730559.1667,2
730559.2083,11
730559.25,1
730559.2917,6
730559.3333,9
730559.375,1
730559.4167,15
730559.4583,9
730559.5,10
730559.5417,6
730559.5833,4
730559.625,1
730559.6667,3
730559.7083,5
730559.75,2
730559.7917,8
730559.8333,2
730559.875,7
730559.9167,11
730559.9583,5
730560,5
730560.0417,6
730560.0833,2
730560.125,6
730560.1667,1
730560.2083,3
730560.25,6
730560.2917,7
730560.3333,13
730560.375,7
730560.4167,5
730560.4583,10
730560.5,11
730560.5417,8
730560.5833,6
730560.625,6
730560.6667,5
730560.7083,7
730560.75,3
730560.7917,5
730560.8333,11
730560.875,9
730560.9167,3
730560.9583,7
730561,1
730561.0417,5
730561.0833,4
730561.125,6
730561.1667,2
730561.2083,5
730561.25,5
730561.2917,2
730561.3333,4
730561.375,7
730561.4167,3
730561.4583,3
730561.5,5
730561.5417,6
730561.5833,2
730561.625,3
730561.6667,6
730561.7083,5
730561.75,0
730561.7917,7
730561.8333,7
730561.875,2
730561.9167,2
730561.9583,9
730562,1
730562.0417,8
730562.0833,6
730562.125,8
730562.1667,7
730562.2083,7
730562.25,5
730562.2917,5
730562.3333,5
730562.375,8
730562.4167,5
730562.4583,6
730562.5,7
730562.5417,5
730562.5833,3
